timestamps,TP9,AF7,AF8,TP10,Right AUX
1586550387.832,120.117,33.203,40.527,68.848,69.824
1586550387.836,17.090,37.109,40.039,19.043,118.652
1586550387.840,-33.691,34.180,41.016,-8.301,66.406
1586550387.844,41.992,32.227,41.016,15.137,13.672
1586550387.848,123.535,36.133,38.086,60.547,49.316
1586550387.851,27.832,34.668,37.598,35.156,51.758
1586550387.855,-51.270,34.180,38.086,-6.348,-29.785
1586550387.859,13.184,37.598,35.156,11.719,-21.484
1586550387.863,118.652,34.180,33.203,52.734,15.625
1586550387.867,78.125,29.297,32.715,44.434,30.273
1586550387.871,-39.551,30.273,34.180,5.371,19.531
1586550387.875,-21.973,32.715,35.156,4.883,-12.207
1586550387.879,86.426,32.227,35.156,44.434,68.359
1586550387.883,92.285,34.668,34.668,56.641,80.566
1586550387.887,-27.832,34.180,33.691,8.789,73.242
1586550387.890,-45.898,33.203,34.180,-6.836,92.773
1586550387.894,51.270,35.156,34.668,34.668,48.828
1586550387.898,104.004,33.203,36.621,67.871,22.461
1586550387.902,3.418,34.180,37.109,22.461,10.742
1586550387.906,-45.898,34.180,35.156,-8.301,18.555
1586550387.910,30.273,32.715,35.156,22.461,33.203
1586550387.914,128.418,33.203,36.133,63.965,53.223
1586550387.918,52.246,35.645,37.109,36.133,24.902
1586550387.922,-45.898,37.109,34.668,-3.418,-0.488
1586550387.926,0.488,38.574,34.180,17.090,11.230
1586550387.930,103.027,39.062,34.668,63.477,19.043
1586550387.933,83.984,40.039,35.645,52.246,38.574
1586550387.937,-21.973,39.551,36.621,0.488,15.137
1586550387.941,-17.090,35.645,34.668,4.395,9.277
1586550387.945,87.891,38.086,34.180,52.246,20.508
1586550387.949,99.609,37.598,34.668,67.871,34.180
1586550387.953,-26.855,34.180,39.062,25.391,53.711
1586550387.957,-43.945,36.621,40.527,12.207,25.391
1586550387.961,58.594,39.551,37.598,43.945,24.902
1586550387.965,127.930,39.062,36.621,68.848,32.227
1586550387.969,29.297,37.598,35.645,38.574,23.926
1586550387.973,-37.109,37.598,36.133,1.465,21.973
1586550387.976,13.184,36.133,34.668,13.672,55.664
1586550387.980,113.770,33.203,33.691,62.988,89.355
1586550387.984,58.594,31.250,34.180,42.480,28.320
1586550387.988,-41.504,30.273,34.668,-7.324,-13.184
1586550387.992,-0.488,31.738,37.109,5.859,-16.113
1586550387.996,108.398,34.668,36.133,62.500,-8.301
1586550388.000,93.750,33.691,35.156,64.941,37.109
1586550388.004,-16.602,33.691,36.621,13.184,18.555
1586550388.008,-14.160,33.203,37.598,15.137,20.020
1586550388.012,82.031,34.180,36.621,62.012,64.941
1586550388.015,117.676,35.645,36.621,75.684,30.273
1586550388.019,3.906,33.203,36.621,28.320,-55.664
1586550388.023,-41.504,32.715,36.621,4.395,-16.602
1586550388.027,30.762,33.203,38.086,32.715,41.992
1586550388.031,105.469,31.250,36.133,62.012,-4.883
1586550388.035,22.461,31.738,33.203,17.090,-20.020
1586550388.039,-49.805,30.273,34.668,-24.414,-0.977
1586550388.043,9.766,30.762,32.715,1.953,39.551
1586550388.047,106.934,32.715,32.715,50.293,27.344
1586550388.051,45.898,32.227,38.086,33.691,16.602
1586550388.055,-44.434,32.715,36.621,-11.719,42.969
1586550388.058,4.395,33.691,33.203,4.883,41.504
1586550388.062,123.535,34.668,35.645,50.781,22.949
1586550388.066,112.305,33.691,35.645,44.922,14.160
1586550388.070,-26.367,32.715,35.645,2.441,60.547
