timestamps,TP9,AF7,AF8,TP10,Right AUX
1586550595.449,-41.016,34.668,31.25,6.348,83.984
1586550595.453,-12.207,34.668,31.738,10.742,36.133
1586550595.457,74.707,33.203,23.438,46.875,-9.277
1586550595.461,90.82,34.18,22.949,53.711,57.617
1586550595.465,-1.953,35.156,27.832,1.953,30.762
1586550595.469,-16.113,33.203,33.691,-12.207,29.297
1586550595.472,56.641,34.668,32.227,23.438,43.457
1586550595.476,97.168,35.645,27.832,53.223,47.363
1586550595.48,14.648,33.691,29.785,18.066,27.832
1586550595.484,-20.996,32.715,31.25,-2.441,24.902
1586550595.488,39.551,32.227,30.273,21.973,52.246
1586550595.492,112.793,29.785,28.809,57.617,61.035
1586550595.496,56.641,27.344,30.273,47.363,27.344
1586550595.5,-26.367,32.227,33.203,9.766,46.875
1586550595.504,7.812,33.691,34.668,14.648,71.777
1586550595.508,97.168,36.133,33.691,51.758,53.223
1586550595.512,76.172,39.551,33.691,57.129,39.062
1586550595.515,-24.902,35.645,33.203,10.742,-20.02
1586550595.519,0,35.645,33.203,10.254,-14.16
1586550595.523,82.031,33.203,33.203,51.758,93.262
1586550595.527,97.168,30.762,28.809,60.059,84.473
1586550595.531,-2.441,33.203,26.367,14.648,-23.438
1586550595.535,-22.461,29.297,30.273,3.906,-11.719
1586550595.539,53.711,29.297,29.297,35.156,-11.23
1586550595.543,106.445,34.18,25.879,59.57,-16.113
1586550595.547,23.926,32.715,27.832,32.227,22.949
1586550595.551,-34.668,29.785,33.203,8.789,41.504
1586550595.554,27.832,33.691,33.203,25.391,23.438
1586550595.558,109.375,36.621,32.715,56.641,20.996
1586550595.562,43.457,35.645,33.691,36.621,66.406
1586550595.566,-45.41,30.762,31.738,-7.812,66.406
1586550595.57,1.465,31.738,31.25,-6.348,19.043
1586550595.574,84.473,34.668,31.738,37.109,18.066
1586550595.578,77.148,38.574,34.668,54.199,40.527
1586550595.582,-20.996,39.551,36.133,10.742,33.691
1586550595.586,-21.973,36.133,30.762,-4.395,3.906
1586550595.59,66.895,37.109,28.809,31.738,10.254
1586550595.594,103.027,36.621,29.297,57.617,35.645
1586550595.597,1.953,36.621,26.855,21.484,5.859
1586550595.601,-29.785,38.574,25.391,-4.395,8.301
1586550595.605,42.969,37.109,27.832,27.832,87.891
1586550595.609,104.004,35.645,28.809,64.453,100.098
1586550595.613,26.367,37.598,29.785,34.18,35.156
1586550595.617,-35.645,38.086,32.227,-4.883,-14.16
1586550595.621,20.996,35.645,30.273,13.672,4.883
1586550595.625,94.238,36.621,27.832,55.664,65.918
1586550595.629,52.246,37.598,34.668,40.527,49.316
1586550595.633,-34.668,36.133,37.109,-0.488,-17.09
1586550595.637,-1.465,35.156,35.645,2.93,14.648
1586550595.64,82.52,31.25,34.668,34.668,37.109
1586550595.644,75.195,30.762,35.645,47.363,63.965
1586550595.648,-25.391,32.227,37.109,10.254,34.668
1586550595.652,-17.09,32.715,34.18,5.859,16.602
1586550595.656,68.359,29.785,29.297,37.109,0
1586550595.66,104.492,25.879,29.785,62.988,14.648
1586550595.664,16.113,28.32,36.133,35.645,41.016
1586550595.668,-20.02,30.273,38.086,10.742,-21.484
1586550595.672,42.969,31.25,30.273,33.203,3.418
1586550595.676,114.258,35.645,28.809,64.941,51.27
1586550595.679,46.387,35.645,36.621,42.48,34.18
1586550595.683,-31.738,28.32,35.156,4.395,72.266
1586550595.687,19.531,25.879,33.691,18.066,12.207
1586550595.691,102.539,26.855,31.738,58.594,-10.742
1586550595.695,61.523,27.344,32.715,57.617,96.68
1586550595.699,-34.668,27.344,35.156,17.578,40.527
1586550595.703,-8.789,30.762,32.715,7.812,-25.879
1586550595.707,66.406,31.738,30.762,41.504,-1.465
1586550595.711,80.078,32.715,30.273,55.664,-34.668
1586550595.715,-15.137,33.203,31.738,10.742,-45.41
1586550595.719,-20.996,31.738,29.785,3.418,-23.926
1586550595.722,61.035,29.297,28.809,39.062,-15.625
1586550595.726,101.562,28.809,30.273,62.012,28.809
1586550595.73,20.508,32.227,30.273,35.156,16.113
1586550595.734,-22.461,32.715,34.18,9.766,-67.871
1586550595.738,33.691,29.785,35.645,23.926,-14.648
1586550595.742,100.586,30.762,34.668,59.082,93.262
1586550595.746,35.645,28.32,36.621,41.504,103.516
1586550595.75,-39.062,27.344,33.691,-0.488,83.496
1586550595.754,3.906,31.25,31.738,4.395,57.129
1586550595.758,82.52,30.762,31.25,43.945,29.785
1586550595.762,64.941,32.227,31.738,41.992,24.902
1586550595.765,-28.809,32.227,34.668,-0.488,7.324
1586550595.769,-4.883,28.32,34.668,-0.488,16.113
1586550595.773,80.078,30.762,32.227,34.668,17.09
1586550595.777,89.844,33.691,29.785,49.316,58.594
1586550595.781,-19.043,32.227,30.762,9.277,76.66
1586550595.785,-37.598,31.25,30.762,-4.883,15.137
1586550595.789,50.293,36.133,30.762,27.344,46.875
1586550595.793,104.492,38.086,33.691,58.594,81.543
1586550595.797,18.066,33.203,33.691,29.785,21.973
1586550595.801,-36.621,31.25,28.32,-0.488,34.18
1586550595.804,20.996,27.344,27.832,14.648,104.004
1586550595.808,95.703,27.344,29.297,52.734,99.121
1586550595.812,43.457,31.738,25.391,44.922,21.973
1586550595.816,-42.48,34.668,29.297,-4.395,-21.973
1586550595.82,-2.93,36.133,34.18,-6.348,6.836
1586550595.824,78.613,34.18,32.715,37.598,27.832
1586550595.828,68.359,35.645,30.273,42.48,14.648
1586550595.832,-29.297,33.691,30.273,-2.93,11.719
1586550595.836,-23.926,31.738,30.273,-6.836,10.742
1586550595.84,61.035,34.668,30.273,26.367,76.172
1586550595.844,94.238,31.738,31.738,54.199,93.75
1586550595.847,0.977,33.203,30.273,25.879,30.762
1586550595.851,-29.785,34.668,30.273,2.93,13.672
1586550595.855,40.039,33.203,30.273,24.414,1.953
1586550595.859,102.539,31.738,29.297,55.664,34.668
1586550595.863,32.715,32.227,28.32,30.762,111.328
1586550595.867,-29.297,31.25,26.367,-1.953,92.285
1586550595.871,26.855,28.809,25.879,17.578,41.016
1586550595.875,104.98,30.762,27.344,55.176,48.828
1586550595.879,61.523,30.762,29.785,45.41,41.992
1586550595.883,-34.18,32.715,29.297,8.301,-31.738
1586550595.887,-1.465,31.25,28.809,17.09,-13.184
1586550595.89,89.355,33.691,29.297,55.176,18.555
1586550595.894,91.309,35.645,27.832,61.523,3.418
1586550595.898,-12.695,32.715,28.32,12.695,50.781
1586550595.902,-12.207,30.273,28.32,-1.953,15.137
1586550595.906,61.523,27.344,30.762,31.738,-4.883
1586550595.91,94.238,29.297,31.738,56.152,15.137
1586550595.914,5.859,27.832,30.762,19.531,21.973
1586550595.918,-35.645,26.367,30.273,-4.395,30.273
1586550595.922,35.645,27.344,30.762,22.461,11.23
1586550595.926,103.516,29.297,31.738,51.27,29.785
1586550595.929,36.133,29.297,33.691,21.484,-22.461
1586550595.933,-34.18,25.879,34.668,-16.113,-49.805
1586550595.937,8.789,25.391,30.762,4.395,-5.859
1586550595.941,92.773,24.414,28.32,48.34,40.527
1586550595.945,65.918,23.926,29.297,47.852,31.25
1586550595.949,-35.156,25.391,30.762,7.812,-11.719
1586550595.953,-14.16,24.414,31.738,5.371,35.645
1586550595.957,67.871,21.973,31.738,42.48,20.508
1586550595.961,83.496,20.996,32.227,55.176,32.227
1586550595.965,-10.254,25.879,30.762,3.418,45.41
1586550595.969,-19.043,28.809,29.785,-12.695,68.359
1586550595.972,63.477,24.902,30.762,27.832,95.215
1586550595.976,107.422,29.785,28.32,59.082,90.332
1586550595.98,13.672,33.203,29.297,28.809,101.074
1586550595.984,-33.203,30.762,32.227,9.277,46.875
1586550595.988,34.668,31.738,31.738,33.691,-11.23
1586550595.992,109.863,30.273,33.691,65.918,14.16
1586550595.996,47.852,29.785,36.133,40.039,35.156
1586550596,-33.203,32.227,34.18,-8.301,19.531
1586550596.004,6.836,33.203,31.25,-0.977,32.715
