TP9,AF7,AF8,TP10,Right AUX,Color
153.809,33.691,29.785,57.129,55.176,0
-58.105,33.691,32.227,-13.672,-21.484,0
30.273,32.227,39.062,23.926,5.859,0
-62.5,36.133,39.551,-4.883,-1.953,0
-80.566,32.715,37.598,-17.578,27.344,0
-73.73,27.344,33.691,-19.043,17.578,0
31.738,34.668,36.621,19.043,11.23,0
103.516,29.297,32.227,57.129,-1.953,0
93.75,30.273,29.785,37.109,11.719,0
-4.883,28.809,31.738,11.23,41.504,0
102.051,32.227,37.109,56.152,54.199,0
-54.688,33.691,37.598,-5.859,35.645,0
-72.754,35.645,37.109,-14.648,42.969,0
-50.781,34.668,33.203,-13.672,-9.277,0
134.277,31.25,32.715,69.336,54.688,0
161.133,29.297,35.645,71.289,17.09,0
-8.301,31.25,36.621,-0.488,-8.789,0
30.762,31.738,35.156,11.719,14.648,0
-13.672,31.25,37.598,15.137,43.945,0
93.75,35.156,33.203,46.875,53.711,0
-30.762,37.598,35.156,2.441,-24.902,0
25.879,37.109,33.203,28.809,-12.695,0
-53.223,37.598,32.227,-12.695,19.043,0
-76.66,36.621,37.109,-1.953,-26.855,0
89.355,32.227,33.691,57.617,24.414,0
-65.43,34.18,34.668,-14.16,42.969,0
67.383,33.691,34.18,33.203,10.254,0
-41.992,38.086,34.668,-3.906,-32.227,0
102.539,34.18,37.598,51.758,28.32,0
-83.496,35.645,36.621,-29.297,-43.945,0
-20.02,34.18,34.668,5.371,12.695,0
83.984,35.645,34.18,42.48,36.133,0
12.207,34.18,38.086,19.531,122.559,0
-89.844,36.133,38.574,-23.926,11.719,0
-69.336,38.086,37.109,-8.789,36.621,0
-46.875,40.527,41.504,10.254,45.41,0
29.785,34.668,38.574,38.086,-75.684,0
-52.246,30.762,37.598,-7.324,20.02,0
105.957,31.738,38.574,52.734,65.43,0
134.277,31.25,36.621,62.988,-3.906,0
62.012,30.273,32.715,34.18,-4.395,0
51.27,35.645,28.809,18.555,7.812,0
-67.383,36.133,29.297,-20.02,-36.133,0
68.848,38.086,28.809,35.645,-57.129,0
-76.66,33.691,36.621,-20.02,39.062,0
144.531,31.738,31.25,48.828,-9.766,0
-16.113,37.109,31.25,-6.348,58.105,0
-55.664,38.086,36.621,-18.066,-11.719,0
-10.254,35.645,40.527,0.488,-22.949,0
140.625,36.133,34.668,74.219,72.266,0
-51.758,38.086,31.738,-5.371,-20.508,0
-89.844,33.203,34.18,-22.461,-37.109,0
-85.938,36.133,35.645,-15.625,-53.711,0
